Meta,nbGameWithLead,nbGames,percentageLeadingTeam,percentageTotalGame,redTeamWinrate,winrateLeadingTeam
All,6913,8551,80.84,100.00,58.04,93.42
Jungle Only,284,328,86.59,3.84,51.52,89.44
Hypercarry only,5315,6594,80.60,77.11,58.17,94.64
Hypercarry VS Jungle,1314,1629,80.66,19.05,58.81,89.35
