Meta,nbGameWithLead,nbGames,percentageLeadingTeam,percentageTotalGame,redTeamWinrate,winrateLeadingTeam
All,8956,11008,81.36,100.00,59.77,92.40
Jungle Only,3214,3856,83.35,35.03,54.05,91.19
Hypercarry only,2230,2753,81.00,25.01,62.84,95.52
Hypercarry VS Jungle,3512,4399,79.84,39.96,62.88,91.51
