Meta,nbGameWithLead,nbGames,percentageLeadingTeam,percentageTotalGame,redTeamWinrate,winrateLeadingTeam
All,4986,6046,82.47,100.00,55.41,92.02
Jungle Only,3546,4241,83.61,70.15,54.70,92.58
Hypercarry only,241,307,78.50,5.08,54.40,92.12
Hypercarry VS Jungle,1199,1498,80.04,24.78,57.61,90.33
